,OpALPlus/BanditTaskLargeSparse,OpALStar/BanditTaskLargeSparse,OpALPlus/BanditTaskSmallRich,OpALStar/BanditTaskSmallRich
"(0.75, 0.1, 7.5)",52.783299999999954,35.30169999999991,66.91590000000048,79.15940000000029
"(0.75, 0.1, 8.0)",52.79950000000007,35.21219999999991,66.3101000000005,78.62450000000031
"(0.75, 0.1, 8.5)",50.546800000000005,34.23049999999987,66.45780000000052,78.09720000000031
"(0.75, 0.1, 9.0)",49.5634,34.13379999999986,65.63720000000058,78.28100000000029
"(0.75, 0.1, 9.5)",49.01519999999998,34.332399999999886,65.39810000000057,78.0120000000003
"(0.8, 0.025, 1.0)",49.88549999999999,67.10560000000002,76.17930000000017,71.52460000000029
"(0.8, 0.025, 1.5)",57.34340000000001,66.0114,71.78620000000022,69.58300000000024
"(0.8, 0.025, 2.0)",62.92120000000006,64.91159999999999,68.03690000000029,66.99090000000034
"(0.8, 0.025, 2.5)",65.78739999999995,64.09559999999995,66.7364000000004,66.54770000000043
"(0.8, 0.025, 3.0)",67.66820000000006,64.1130999999999,65.91400000000041,65.38310000000044
"(0.8, 0.025, 3.5)",68.35699999999994,63.10579999999989,65.20140000000045,65.19530000000044
"(0.8, 0.025, 4.0)",69.14,62.35469999999994,64.32290000000047,65.00620000000046
"(0.8, 0.025, 4.5)",69.72560000000001,61.66409999999996,63.049000000000504,64.20190000000048
"(0.8, 0.025, 5.0)",69.37890000000002,60.48509999999997,62.35600000000052,63.50390000000052
"(0.8, 0.025, 5.5)",70.10949999999994,60.32909999999997,61.95740000000051,63.106000000000506
"(0.8, 0.025, 6.0)",69.45400000000001,60.26170000000004,61.959600000000506,63.19800000000051
"(0.8, 0.025, 6.5)",69.57329999999997,59.62480000000004,61.85760000000053,63.00410000000053
"(0.8, 0.025, 7.0)",69.72150000000002,60.00940000000006,62.057200000000535,62.914700000000536
"(0.8, 0.025, 7.5)",70.13109999999998,60.06670000000001,61.86140000000053,62.72150000000054
"(0.8, 0.025, 8.0)",68.30289999999988,59.93720000000002,61.762800000000524,62.33450000000054
"(0.8, 0.025, 8.5)",68.35899999999998,60.40479999999998,61.66340000000053,62.23420000000055
"(0.8, 0.025, 9.0)",68.45799999999994,60.03990000000001,61.56240000000053,62.13320000000054
"(0.8, 0.025, 9.5)",67.0644,61.152599999999936,61.56240000000053,62.037600000000545
"(0.8, 0.05, 1.0)",48.65979999999996,54.05260000000007,81.43260000000018,80.48720000000014
"(0.8, 0.05, 1.5)",55.29310000000002,53.10009999999999,78.2199000000001,77.1838000000002
"(0.8, 0.05, 2.0)",59.37350000000003,51.60859999999998,73.89230000000019,73.98150000000031
"(0.8, 0.05, 2.5)",60.791600000000024,49.944300000000005,72.15990000000026,72.86110000000038
"(0.8, 0.05, 3.0)",61.82040000000007,48.1526,70.03760000000037,71.9922000000004
"(0.8, 0.05, 3.5)",61.214000000000006,47.6496,67.5454000000004,70.52670000000037
"(0.8, 0.05, 4.0)",62.15760000000003,48.63460000000004,66.71940000000052,70.47910000000041
"(0.8, 0.05, 4.5)",62.61289999999998,47.98940000000003,65.94330000000052,70.09550000000044
"(0.8, 0.05, 5.0)",62.823999999999934,47.321600000000075,64.43370000000053,68.40720000000047
"(0.8, 0.05, 5.5)",61.65520000000001,47.336700000000015,63.70610000000055,67.80980000000046
"(0.8, 0.05, 6.0)",62.00819999999998,47.457999999999984,63.52260000000055,67.81660000000048
"(0.8, 0.05, 6.5)",61.93860000000013,47.92650000000003,62.69840000000057,67.29080000000049
"(0.8, 0.05, 7.0)",60.25919999999992,47.21330000000006,62.722800000000575,67.50100000000047
"(0.8, 0.05, 7.5)",60.23439999999999,47.58390000000005,62.58960000000055,67.1559000000005
"(0.8, 0.05, 8.0)",59.70620000000002,48.55180000000006,62.59280000000054,67.02100000000051
"(0.8, 0.05, 8.5)",60.16950000000001,47.994300000000024,62.394100000000535,67.2110000000005
"(0.8, 0.05, 9.0)",58.239100000000015,47.1978,62.389800000000534,67.0477000000005
"(0.8, 0.05, 9.5)",57.25770000000002,47.203599999999994,62.40960000000052,67.08420000000051
"(0.8, 0.1, 1.0)",48.11500000000004,45.422499999999935,81.73470000000012,88.26530000000022
"(0.8, 0.1, 1.5)",53.164499999999975,40.50740000000009,81.97580000000005,86.89720000000024
"(0.8, 0.1, 2.0)",56.36020000000007,38.50859999999999,80.48089999999998,86.41150000000022
"(0.8, 0.1, 2.5)",56.92989999999999,36.946999999999974,78.73200000000014,85.09130000000017
"(0.8, 0.1, 3.0)",56.60209999999994,35.66739999999992,78.2861000000003,84.9064000000002
"(0.8, 0.1, 3.5)",56.45379999999997,35.77399999999993,75.12650000000022,83.47450000000022
"(0.8, 0.1, 4.0)",55.36359999999998,35.69989999999993,74.17080000000034,83.03730000000022
"(0.8, 0.1, 4.5)",55.638400000000026,35.89589999999995,72.56520000000033,82.07260000000025
"(0.8, 0.1, 5.0)",55.69139999999999,35.02109999999989,71.53250000000033,81.43610000000022
"(0.8, 0.1, 5.5)",54.85219999999988,35.11619999999989,70.46700000000047,81.04210000000019
"(0.8, 0.1, 6.0)",53.898299999999956,34.69959999999987,69.68080000000056,81.10800000000022
"(0.8, 0.1, 6.5)",53.64639999999998,34.41189999999989,69.10950000000052,81.12360000000018
"(0.8, 0.1, 7.0)",52.860499999999924,35.1944999999999,67.55720000000045,80.84340000000022
"(0.8, 0.1, 7.5)",52.318599999999975,35.0024999999999,67.17740000000043,80.32390000000022
"(0.8, 0.1, 8.0)",50.462900000000026,35.20359999999991,66.8957000000005,79.73360000000024
"(0.8, 0.1, 8.5)",48.48520000000001,35.398299999999914,66.39160000000051,80.26750000000027
"(0.8, 0.1, 9.0)",48.270300000000006,35.48449999999994,65.80540000000055,79.87950000000028
"(0.8, 0.1, 9.5)",48.362999999999964,35.98279999999993,65.51100000000058,79.50100000000029
"(0.85, 0.025, 1.0)",51.03919999999999,67.31349999999998,76.25880000000015,72.0873000000004
"(0.85, 0.025, 1.5)",57.92769999999996,65.88479999999996,71.57230000000018,69.55950000000028
"(0.85, 0.025, 2.0)",63.1828,63.79649999999998,67.52790000000032,67.25590000000034
"(0.85, 0.025, 2.5)",66.33760000000004,63.78469999999993,66.61140000000039,66.69010000000041
"(0.85, 0.025, 3.0)",67.95999999999997,62.70669999999986,65.68800000000043,65.44830000000044
"(0.85, 0.025, 3.5)",69.2820000000001,60.89889999999994,65.35150000000047,65.47520000000046
"(0.85, 0.025, 4.0)",69.12319999999997,62.22309999999997,64.0415000000005,65.00690000000044
"(0.85, 0.025, 4.5)",69.23999999999995,62.43359999999994,63.034000000000525,64.48940000000047
"(0.85, 0.025, 5.0)",69.71270000000004,60.02689999999998,62.04570000000051,63.2974000000005
"(0.85, 0.025, 5.5)",70.17549999999991,60.367899999999956,62.0570000000005,63.40240000000049
"(0.85, 0.025, 6.0)",69.28809999999997,59.9279,61.93180000000052,63.292500000000516
"(0.85, 0.025, 6.5)",70.49129999999997,61.76270000000006,62.131800000000524,63.29110000000052
"(0.85, 0.025, 7.0)",71.1924999999999,59.97100000000002,61.95890000000053,63.10310000000053
"(0.85, 0.025, 7.5)",69.74680000000002,59.99190000000005,61.958900000000526,63.09080000000053
"(0.85, 0.025, 8.0)",70.49380000000001,59.20559999999998,61.662900000000526,62.88820000000054
"(0.85, 0.025, 8.5)",69.22660000000002,60.81809999999991,61.56210000000053,62.69880000000054
"(0.85, 0.025, 9.0)",67.91039999999995,62.3913999999999,61.46290000000054,62.69910000000054
