,ActorCritic/BanditTaskLargeSparse,ActorCritic/BanditTaskSmallRich
"(0.95, 1.5)",397.8801000000001,848.0997999999998
"(0.95, 2.0)",412.02320000000003,754.2694
"(0.95, 2.5)",393.5919000000002,736.8241000000003
"(0.95, 3.0)",409.2624999999999,714.8516999999996
"(0.95, 3.5)",360.6938,712.8577000000002
"(0.95, 4.0)",299.96990000000005,763.1929999999995
"(0.95, 4.5)",237.57859999999994,677.8903000000003
"(0.95, 5.0)",291.82099999999997,643.9173
"(0.95, 5.5)",339.29479999999995,634.0258999999996
"(0.95, 6.0)",404.12049999999994,658.2255000000001
"(0.95, 6.5)",435.59680000000003,619.6478000000001
"(0.95, 7.0)",423.03199999999987,594.724
"(0.95, 7.5)",476.8032000000002,573.4506
"(0.95, 8.0)",495.4836000000002,554.8919
"(0.95, 8.5)",522.0638999999999,541.4114999999998
"(0.95, 9.0)",544.3670999999999,504.18840000000023
"(0.95, 9.5)",544.5519,497.9980000000001
