,ActorCritic/BanditTaskLargeSparse,ActorCritic/BanditTaskSmallRich
"(0.85, 5.0)",34995.66999999999,72844.73000000001
"(0.85, 5.5)",36409.65,75306.99000000003
"(0.85, 6.0)",36065.29,69983.70000000001
"(0.85, 6.5)",37627.76000000001,72448.17000000001
"(0.85, 7.0)",42380.31999999999,75398.40000000001
"(0.85, 7.5)",42554.54000000001,76023.87000000001
"(0.85, 8.0)",50850.829999999994,74595.62000000002
"(0.85, 8.5)",45931.32000000003,73913.21000000002
"(0.85, 9.0)",47467.69,69751.43999999999
"(0.85, 9.5)",46481.44999999998,68397.64000000001
"(0.9, 1.0)",49611.5,89402.5
"(0.9, 1.5)",44272.149999999994,85029.28000000003
"(0.9, 2.0)",44878.24999999997,77262.83000000002
"(0.9, 2.5)",40419.45999999999,71166.71
"(0.9, 3.0)",40666.53000000001,71743.4
"(0.9, 3.5)",32211.320000000007,69038.31999999999
"(0.9, 4.0)",32229.740000000005,77464.05999999997
"(0.9, 4.5)",35250.04,73540.57000000002
"(0.9, 5.0)",33068.11,71029.90000000001
"(0.9, 5.5)",33051.73999999999,70012.97999999998
"(0.9, 6.0)",36774.77999999999,69426.34
"(0.9, 6.5)",38354.79,73369.69
"(0.9, 7.0)",43775.16999999999,70499.94999999997
"(0.9, 7.5)",47628.55999999999,69414.83000000002
"(0.9, 8.0)",48859.02999999999,68248.38
"(0.9, 8.5)",50764.53,66657.64
"(0.9, 9.0)",49844.12000000001,62393.97000000002
"(0.9, 9.5)",45431.20999999999,61970.73000000001
"(0.95, 1.0)",52560.789999999986,87835.67999999998
"(0.95, 1.5)",39788.01,84809.97999999998
"(0.95, 2.0)",41202.31999999999,75426.94000000003
"(0.95, 2.5)",39359.189999999995,73682.40999999997
"(0.95, 3.0)",40926.250000000015,71485.17000000001
"(0.95, 3.5)",36069.380000000005,71285.77
"(0.95, 4.0)",29996.98999999999,76319.3
"(0.95, 4.5)",23757.859999999993,67789.02999999997
"(0.95, 5.0)",29182.099999999995,64391.73000000002
"(0.95, 5.5)",33929.48000000001,63402.59000000001
"(0.95, 6.0)",40412.050000000025,65822.54999999997
"(0.95, 6.5)",43559.68000000001,61964.77999999997
"(0.95, 7.0)",42303.200000000004,59472.399999999994
"(0.95, 7.5)",47680.31999999999,57345.06
"(0.95, 8.0)",49548.35999999999,55489.19
"(0.95, 8.5)",52206.390000000036,54141.149999999994
"(0.95, 9.0)",54436.71000000001,50418.84
"(0.95, 9.5)",54455.19000000001,49799.799999999974
