,OpALStar/BanditTaskSmallSparse,OpALPlus/BanditTaskSmallSparse,OpALStar/BanditTaskSmallRich,OpALPlus/BanditTaskSmallRich,OpALStar/GridWorld3x1Sparse,OpALPlus/GridWorld3x1Sparse,OpALStar/GridWorld3x1Rich,OpALPlus/GridWorld3x1Rich,OpALStar/GridWorld3x2Sparse,OpALPlus/GridWorld3x2Sparse,OpALStar/GridWorld3x2Rich,OpALPlus/GridWorld3x2Rich
"(0.95, 0.1, 5.5, 0.99)",66.41700000000003,66.40300000000003,48.995999999999995,48.995999999999995,62.42549999999996,58.45369999999997,54.49199999999999,54.49199999999999,53.913900000000034,53.12805,52.50395,53.0206
"(0.95, 0.1, 6.0, 0.95)",67.42700000000002,66.42350000000002,47.997,47.997,64.43034999999999,62.91559999999998,53.99300000000001,53.49450000000001,56.794000000000004,58.21305000000001,51.30080000000001,53.11335000000002
"(0.95, 0.1, 6.0, 0.96)",67.424,66.41900000000003,47.4975,47.4975,62.946599999999975,58.94994999999996,53.994,53.994,50.2809,51.28000000000003,50.18379999999998,52.90889999999999
"(0.95, 0.1, 6.0, 0.97)",67.42050000000002,65.92100000000002,47.997,47.997,62.94194999999997,58.95639999999997,54.4935,54.4935,51.826249999999995,54.50199999999997,49.77314999999999,53.09849999999998
"(0.95, 0.1, 6.0, 0.98)",66.42550000000003,66.41750000000003,47.997,47.997,64.41779999999996,58.95579999999996,53.994,53.994,53.87564999999999,52.605499999999964,50.69584999999998,53.938449999999975
"(0.95, 0.1, 6.0, 0.99)",66.41750000000003,65.91800000000003,48.995999999999995,48.995999999999995,63.92299999999995,59.44719999999997,54.49399999999999,54.99249999999999,54.141000000000005,51.790799999999976,50.5378,50.379549999999995
"(0.95, 0.1, 6.5, 0.95)",66.92900000000002,66.42300000000002,47.997,47.997,65.42484999999998,63.420199999999966,53.992000000000004,53.493500000000004,54.65374999999999,54.70180000000001,48.4376,49.953950000000006
"(0.95, 0.1, 6.5, 0.96)",65.93350000000001,66.42000000000003,47.4975,47.4975,65.43809999999998,61.93079999999996,53.993500000000004,53.495000000000005,53.34949999999998,53.689949999999996,50.76604999999998,53.49309999999998
"(0.95, 0.1, 6.5, 0.97)",66.92500000000003,65.92150000000001,47.997,47.997,62.456049999999976,59.45294999999996,53.9935,53.9935,50.41135000000003,51.25664999999998,50.61304999999999,50.719149999999985
"(0.95, 0.1, 6.5, 0.98)",66.42600000000003,66.41800000000003,47.997,47.997,62.44239999999997,58.458799999999975,54.492999999999995,54.492999999999995,50.96860000000002,50.11444999999998,50.35760000000002,52.44955000000001
"(0.95, 0.1, 6.5, 0.99)",66.41750000000003,65.91800000000003,48.995999999999995,48.995999999999995,64.92649999999996,59.438599999999965,54.49399999999999,54.49399999999999,54.52164999999998,52.32329999999996,50.7111,50.570700000000016
"(0.95, 0.1, 7.0, 0.95)",67.42600000000002,66.42450000000002,48.49650000000001,48.49650000000001,65.41534999999998,62.434899999999956,53.9915,53.493,53.895399999999995,52.23735000000003,50.463849999999994,51.30174999999999
"(0.95, 0.1, 7.0, 0.96)",66.93000000000002,66.91900000000003,47.4975,47.4975,64.44504999999998,62.92424999999997,52.99400000000001,52.49550000000001,54.343749999999986,52.59464999999997,51.193699999999986,51.86514999999999
"(0.95, 0.1, 7.0, 0.97)",67.42200000000003,65.92200000000001,47.997,47.997,63.94754999999999,60.44744999999996,54.4935,54.4935,51.500049999999995,53.07074999999999,50.776149999999994,50.91395000000001
"(0.95, 0.1, 7.0, 0.98)",67.92000000000003,66.91750000000003,47.997,47.997,61.44589999999997,58.45834999999996,54.992999999999995,54.992999999999995,50.36390000000002,52.52625000000001,49.58754999999999,50.47045
"(0.95, 0.1, 7.0, 0.99)",65.92100000000003,65.91800000000003,48.995999999999995,48.995999999999995,66.90894999999996,59.448199999999964,53.4955,53.4955,53.9288,53.41599999999999,52.60415,53.758849999999995
"(0.95, 0.1, 7.5, 0.95)",67.926,65.43050000000001,48.49650000000001,48.49650000000001,64.42984999999999,62.43944999999995,55.49099999999999,54.99249999999999,50.894000000000005,48.84600000000002,50.79219999999998,50.722999999999985
"(0.95, 0.1, 7.5, 0.96)",67.42750000000001,66.42350000000002,47.997,47.997,63.463149999999985,64.91374999999998,53.49250000000001,52.99400000000001,51.76029999999998,52.33559999999999,47.75329999999997,48.32074999999998
"(0.95, 0.1, 7.5, 0.97)",67.42350000000002,66.41950000000003,47.997,47.997,63.94849999999999,62.42159999999998,53.992999999999995,53.494499999999995,50.144149999999996,53.11785,48.78230000000001,49.20905000000002
"(0.95, 0.1, 7.5, 0.98)",68.41900000000001,66.91800000000003,47.997,47.997,62.936949999999975,59.44169999999996,54.99349999999999,54.99349999999999,51.51585000000001,52.87450000000001,50.09589999999999,49.1807
